,Data provided for site 06054500,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,ts_id,parameter,statistic,Description
1,80893,00010,00001,"Temperature, water, degrees Celsius"
2,80894,00010,00002,"Temperature, water, degrees Celsius"
3,80895,00010,00003,"Temperature, water, degrees Celsius"
4,80896,00060,00003,"Discharge, cubic feet per second"
5,,,,
6,Data-value qualification codes included in this output:,,,
7,A,Approved for publication -- Processing and review completed.,,
8,P,Provisional data subject to revision.,,
9,[4],Returned when there is no matching qualifier.,,
10,e,Value has been estimated.,,
